,basin_0,basin_1,basin_2,basin_3,basin_4,basin_5,basin_6,basin_7,basin_8,basin_9,basin_10,basin_11,basin_12,basin_13,basin_14,basin_15,basin_16,basin_17,basin_18,basin_19,basin_20,basin_21,basin_22,basin_23,basin_24,basin_25,basin_26,basin_27,basin_28,basin_29,basin_30,basin_31,basin_32,basin_33,basin_34,basin_35,basin_36,basin_37,basin_38,basin_39,basin_40,basin_41,basin_42,basin_43,basin_44,basin_45,basin_46,basin_47,basin_48,basin_49,basin_50,basin_51,basin_52,basin_53,basin_54,basin_55,basin_56,basin_57,basin_58,basin_59,basin_60,basin_61,basin_62,basin_63,basin_64,basin_65,basin_66,basin_67,basin_68
1981/3/22,0.182,0.124796748,0.179137931,0.182333333,0.1295,0.106216216,0.191,0.11287037,0.094383562,0.128518519,0.228628571,0.220289855,0.104444444,0.103151515,0.117765957,0.254827586,0.106067416,0.132307692,0.136931818,0.121081081,0.139159664,0.214509804,0.126691176,0.247951807,0.270557769,0.114915254,0.188301887,0.222738095,0.125354839,0.128214286,0.214833333,0.110588235,0.136284153,0.132033898,0.141213873,0.276111111,0.23433526,0.16384106,0.184090909,0.123,0.189666667,0.25045977,0.132391304,0.192307692,0.114722222,0.202608696,0.119642857,0.1904,0.231392405,0.176315789,0.241382979,0.156465517,0.185424528,0.18509434,0.064366197,0.187340426,0.181090909,0.238333333,0.239874214,0.164069767,0.238947368,0.218350515,0.144852941,0.129518072,0.233405797,0.24265625,0.227722772,0.211818182,0.206216216
1981/3/30,0.1928,0.12902439,0.1925,0.196,0.133333333,0.110810811,0.204777778,0.117314815,0.096849315,0.133148148,0.252057143,0.240942029,0.107948718,0.106969697,0.122021277,0.28,0.108988764,0.136923077,0.141477273,0.125675676,0.14302521,0.233921569,0.132426471,0.271807229,0.301075697,0.118135593,0.201194969,0.241071429,0.129290323,0.132767857,0.2285,0.112352941,0.140437158,0.134237288,0.145317919,0.315555556,0.260635838,0.17,0.192272727,0.1255,0.196333333,0.286206897,0.135,0.198076923,0.116527778,0.214782609,0.119464286,0.204,0.257341772,0.182105263,0.275851064,0.161034483,0.190896226,0.192830189,0.066901408,0.194468085,0.187636364,0.269242424,0.272075472,0.170930233,0.275087719,0.23556701,0.151176471,0.135180723,0.26673913,0.269895833,0.256633663,0.233409091,0.223108108
1981/4/7,0.2046,0.133089431,0.209224138,0.214666667,0.138166667,0.114864865,0.222,0.120833333,0.1,0.137777778,0.279257143,0.267536232,0.111880342,0.109757576,0.125744681,0.311724138,0.111235955,0.140480769,0.145227273,0.13,0.147647059,0.255882353,0.138970588,0.300843373,0.335458167,0.120677966,0.216981132,0.264761905,0.133225806,0.138214286,0.245666667,0.11372549,0.145081967,0.13779661,0.149132948,0.36,0.289248555,0.178741722,0.2025,0.1285,0.2065,0.326666667,0.138695652,0.205769231,0.118888889,0.229565217,0.11875,0.2204,0.287341772,0.190131579,0.317659574,0.166551724,0.199528302,0.200377358,0.069859155,0.202553191,0.195,0.30469697,0.311949686,0.177790698,0.319122807,0.257010309,0.156470588,0.141204819,0.307898551,0.303802083,0.291188119,0.261212121,0.245405405
1981/4/15,0.2186,0.137886179,0.22862069,0.237333333,0.1435,0.12027027,0.242666667,0.126111111,0.103561644,0.144907407,0.3124,0.301884058,0.116495726,0.113636364,0.130106383,0.350517241,0.114157303,0.145576923,0.150454545,0.134864865,0.153445378,0.285294118,0.147132353,0.337831325,0.380199203,0.123559322,0.236226415,0.293333333,0.137290323,0.143571429,0.266166667,0.116176471,0.151092896,0.143389831,0.154104046,0.414444444,0.327109827,0.189072848,0.212727273,0.133166667,0.222166667,0.37954023,0.143043478,0.214615385,0.123125,0.25,0.121428571,0.2412,0.325063291,0.198421053,0.371808511,0.175517241,0.211462264,0.209811321,0.075070423,0.211914894,0.203545455,0.348787879,0.36591195,0.188953488,0.375438596,0.281649485,0.163823529,0.148674699,0.36326087,0.34875,0.334059406,0.296969697,0.27527027
1981/4/23,0.2346,0.143821138,0.250344828,0.266333333,0.151166667,0.130810811,0.264555556,0.130462963,0.109178082,0.153796296,0.354171429,0.345724638,0.122905983,0.119333333,0.135851064,0.399482759,0.120786517,0.150865385,0.155113636,0.141351351,0.158571429,0.320392157,0.158676471,0.385662651,0.435458167,0.129322034,0.258427673,0.337857143,0.142645161,0.149196429,0.291333333,0.126568627,0.158087432,0.15220339,0.158786127,0.472777778,0.37132948,0.202119205,0.226590909,0.138666667,0.248666667,0.442988506,0.149565217,0.221923077,0.138125,0.276521739,0.133214286,0.2672,0.370126582,0.209868421,0.443297872,0.186724138,0.234103774,0.220566038,0.09971831,0.223297872,0.213272727,0.407121212,0.441886792,0.201744186,0.45122807,0.31371134,0.172647059,0.15746988,0.438623188,0.420260417,0.39950495,0.355984848,0.328108108
1981/5/1,0.2524,0.150894309,0.275603448,0.300333333,0.162666667,0.145405405,0.294111111,0.137314815,0.115205479,0.166481481,0.4024,0.399565217,0.132820513,0.127333333,0.144893617,0.452758621,0.13011236,0.158269231,0.162613636,0.152432432,0.166638655,0.364313725,0.175588235,0.444698795,0.496733068,0.136949153,0.284150943,0.394880952,0.151612903,0.159196429,0.320666667,0.137745098,0.168306011,0.164237288,0.167572254,0.533333333,0.42,0.218741722,0.239772727,0.149166667,0.275166667,0.514942529,0.160869565,0.229615385,0.157361111,0.305652174,0.148035714,0.2988,0.41835443,0.224605263,0.527659574,0.204224138,0.25990566,0.232641509,0.110704225,0.236382979,0.223454545,0.475606061,0.537169811,0.220232558,0.540175439,0.350927835,0.185588235,0.171325301,0.531956522,0.509583333,0.476930693,0.428787879,0.395540541
1981/5/9,0.272,0.158861789,0.300775862,0.339333333,0.176833333,0.161081081,0.328888889,0.14462963,0.123150685,0.181759259,0.460857143,0.462173913,0.144102564,0.137151515,0.155,0.513103448,0.141348315,0.166057692,0.170681818,0.164864865,0.17605042,0.414313725,0.196617647,0.514819277,0.573545817,0.147288136,0.314716981,0.466904762,0.163354839,0.171696429,0.358333333,0.155,0.180218579,0.182542373,0.17867052,0.600555556,0.480751445,0.240794702,0.257727273,0.167833333,0.309666667,0.601149425,0.180217391,0.239423077,0.189097222,0.347391304,0.178928571,0.3384,0.475316456,0.244473684,0.631276596,0.231293103,0.295377358,0.250943396,0.137887324,0.255319149,0.237454545,0.556212121,0.656100629,0.246511628,0.643157895,0.395876289,0.206176471,0.19060241,0.644782609,0.62484375,0.57039604,0.520606061,0.48472973
1981/5/17,0.2932,0.167479675,0.328103448,0.385666667,0.194,0.175675676,0.373444444,0.153240741,0.130547945,0.201759259,0.5364,0.53884058,0.156068376,0.149333333,0.167021277,0.586551724,0.156966292,0.176538462,0.181931818,0.18,0.189495798,0.480392157,0.235735294,0.606144578,0.662669323,0.16220339,0.352578616,0.568928571,0.178451613,0.193660714,0.4085,0.180784314,0.198251366,0.208474576,0.197976879,0.670555556,0.549132948,0.272582781,0.284318182,0.200833333,0.353166667,0.701149425,0.207173913,0.256923077,0.255,0.396086957,0.253214286,0.386,0.538734177,0.273947368,0.758723404,0.269741379,0.348396226,0.276226415,0.207042254,0.283829787,0.259090909,0.656666667,0.811446541,0.286162791,0.770877193,0.454742268,0.239264706,0.219518072,0.789347826,0.779791667,0.693465347,0.650227273,0.610675676
1981/5/25,0.319,0.179593496,0.360086207,0.436666667,0.2165,0.186216216,0.429444444,0.160925926,0.136986301,0.22712963,0.647371429,0.634710145,0.168547009,0.164787879,0.180106383,0.678103448,0.175730337,0.191057692,0.196477273,0.196756757,0.209327731,0.567843137,0.278014706,0.728192771,0.80625498,0.181016949,0.403018868,0.717738095,0.197870968,0.224732143,0.478666667,0.213333333,0.223551913,0.243220339,0.22433526,0.788888889,0.660578035,0.313443709,0.32,0.239333333,0.415833333,0.858505747,0.24173913,0.284615385,0.325416667,0.467826087,0.339464286,0.4556,0.631139241,0.315,0.94212766,0.320086207,0.417735849,0.313396226,0.301690141,0.326382979,0.29,0.796969697,1.022955975,0.339418605,0.947368421,0.533195876,0.283529412,0.25746988,0.991231884,0.994895833,0.857623762,0.827424242,0.783648649
1981/6/2,0.3512,0.19902439,0.405603448,0.505333333,0.255833333,0.191081081,0.513888889,0.175740741,0.143835616,0.265833333,0.820685714,0.759275362,0.185299145,0.184424242,0.197446809,0.801206897,0.207865169,0.218557692,0.227386364,0.224864865,0.24789916,0.694901961,0.331911765,0.893975904,1.067051793,0.211016949,0.484213836,0.92452381,0.232580645,0.2775,0.584833333,0.265784314,0.272568306,0.305762712,0.273641618,1.013333333,0.865086705,0.384238411,0.380909091,0.304666667,0.527,1.130344828,0.299130435,0.331538462,0.426666667,0.596956522,0.454642857,0.5776,0.799746835,0.380789474,1.211489362,0.401637931,0.525330189,0.372075472,0.398873239,0.39212766,0.34,1.017121212,1.289056604,0.422790698,1.202280702,0.652886598,0.355588235,0.321204819,1.263695652,1.264947917,1.085445545,1.056666667,1.006486486
