date,basin_0,basin_1,basin_2,basin_3,basin_4,basin_5,basin_6,basin_7,basin_8,basin_9,basin_10,basin_11,basin_12,basin_13,basin_14,basin_15,basin_16,basin_17,basin_18,basin_19,basin_20,basin_21,basin_22,basin_23,basin_24,basin_25,basin_26,basin_27,basin_28,basin_29,basin_30,basin_31,basin_32,basin_33,basin_34,basin_35,basin_36,basin_37,basin_38,basin_39,basin_40,basin_41,basin_42,basin_43,basin_44,basin_45,basin_46,basin_47,basin_48,basin_49,basin_50,basin_51,basin_52,basin_53,basin_54,basin_55,basin_56,basin_57,basin_58,basin_59,basin_60,basin_61,basin_62,basin_63,basin_64,basin_65,basin_66,basin_67,basin_68
2000/11/30,0.203394469,0.304403833,0.227959568,0.198033898,0.483655118,0.22896437,0.397841983,0.153947243,0.215361551,0.433983096,0.384929286,0.286247174,0.292577444,0.390255512,0.439227962,0.448037823,0.669758781,0.189715807,0.144243212,0.351826565,0.252406376,0.42318317,0.544727651,0.487138848,0.608698545,0.617304681,0.495257344,0.536567377,0.517551735,0.370135111,0.602261783,0.718021756,0.465414172,0.878932107,0.276878668,0.673300003,0.655837694,0.658199745,0.697365096,0.858076897,0.883545499,0.577110695,0.892296915,0.811371065,0.633255125,0.643963659,0.703634212,0.51589374,0.68029656,0.881827096,0.654385099,0.783350256,0.681981978,0.86627345,0.652377952,0.898218802,0.815132632,0.676104058,0.613984514,0.535994345,0.587651128,0.70885707,0.46194634,0.492758531,0.650852061,0.736741075,0.600882475,0.750466336,0.92532129
2000/12/31,0.054608091,0.084317682,0.095092087,0.114138413,0.111605993,0.059640222,0.169701726,0.048934727,0.060242073,0.1095622,0.098705536,0.081170286,0.068108518,0.098992634,0.12938741,0.125463071,0.160439466,0.035545462,0.034857236,0.124701032,0.069884582,0.144361773,0.205451742,0.12971794,0.21536328,0.165640472,0.186804585,0.164295023,0.140174735,0.101842106,0.218245333,0.201192615,0.136783921,0.164185939,0.104411792,0.178023337,0.222612879,0.231121353,0.262651471,0.212726958,0.197923519,0.211509446,0.235756525,0.279290144,0.205221482,0.188495804,0.267997815,0.23586561,0.271086436,0.320559249,0.279481061,0.251804086,0.241944976,0.369725328,0.298318022,0.381452693,0.335688781,0.276101088,0.324711755,0.357254323,0.290841271,0.328880311,0.360970528,0.365826813,0.374394917,0.35394537,0.287526123,0.304882148,0.351346609
2001/1/31,0.182459424,0.226216718,0.154420228,0.111472638,0.194840364,0.145031733,0.178462871,0.100856592,0.147144214,0.200070717,0.179068352,0.097856714,0.162780865,0.204167377,0.227898229,0.182309794,0.234800257,0.088324282,0.064448917,0.182972139,0.094320492,0.243071317,0.22921806,0.181051074,0.261925441,0.225704613,0.231831152,0.208505366,0.208135208,0.110141853,0.242861122,0.25132067,0.158022228,0.241705032,0.075471455,0.266571135,0.260206313,0.278748115,0.308551224,0.270296784,0.305162862,0.229325902,0.310054333,0.306217218,0.24616004,0.300616841,0.382466301,0.331938669,0.312763696,0.339544012,0.234568009,0.314495605,0.304966105,0.426013462,0.430594856,0.396621726,0.417244212,0.30296736,0.177193334,0.308255563,0.23805448,0.390515533,0.364287626,0.373422936,0.166280223,0.238706191,0.26424958,0.204895221,0.137533594
2001/2/28,0.285049673,0.435883659,0.392886412,0.381566105,0.465339733,0.386128968,0.531839349,0.314414016,0.319002634,0.5099513,0.184015861,0.219322623,0.349425926,0.326332818,0.410243475,0.198296227,0.590092007,0.359725777,0.341763371,0.346080422,0.333235138,0.156442886,0.527158062,0.097811245,0.241232272,0.557219456,0.309607033,0.105254392,0.412464388,0.299623252,0.113351883,0.738982526,0.291325624,0.419735516,0.320001391,0.293071542,0.181947937,0.278235399,0.145643535,0.336990043,0.36614856,0.249504965,0.344981088,0.162634401,0.266788201,0.277230027,0.243883945,0.278295157,0.22486703,0.207780526,0.244011029,0.303360966,0.352427459,0.29284151,0.305641956,0.240538848,0.266383979,0.253705154,0.271535157,0.307325962,0.279983607,0.271414247,0.332763971,0.344369889,0.327820157,0.465546712,0.313506697,0.514932582,0.76475278
2001/3/31,0.151805577,0.294123979,0.199191907,0.079572832,0.241917579,0.327991285,0.186501949,0.410889013,0.364302287,0.253517753,0.075701089,0.071957102,0.386255778,0.372916512,0.451518344,0.147187436,0.414024989,0.453987563,0.536877679,0.579999829,0.649865599,0.155145211,0.400249804,0.068777531,0.186529367,0.876656741,0.30232859,0.082798447,0.758148654,0.664277302,0.176951484,0.75926716,0.849233913,0.997813064,0.779637964,0.329986329,0.202259124,0.492613091,0.442755298,0.963940479,0.626100042,0.486131436,0.951242754,0.404424293,0.968213838,0.70475011,0.949991202,0.766554216,0.502169055,0.753138968,0.660305988,0.859775525,0.689298442,0.673376161,0.957843519,0.700430225,0.601937262,0.628851758,0.72171087,0.913005012,0.693367442,0.71409829,0.993627018,0.987788151,0.863577864,1.090471841,0.874862002,1.366013726,1.480706231
2001/4/30,0.871569268,1.11906352,0.990941431,0.762501006,1.639375343,1.045422011,1.660333407,0.801624188,0.913440098,1.494028837,0.584881636,0.911931767,1.019476705,1.122642638,1.413182234,1.204409269,1.653994543,1.014173627,0.869160458,1.54073438,1.204211683,1.327014505,1.636959166,1.194331729,1.577679021,1.767196812,1.586492439,1.234020528,1.714169656,1.18035074,1.520351454,1.721212641,1.3030186,1.47800085,1.204576745,2.289426495,1.964964189,1.614820691,1.798608042,1.415561425,1.598334952,2.405423514,1.513453721,1.870715774,1.294925782,2.019180635,1.365234929,2.232429577,2.32826487,2.563745603,2.762447789,1.815600702,1.938334476,2.269733153,1.393948462,2.386644923,2.125831219,2.624989252,2.992660548,2.425291402,2.78765426,2.375639064,2.194666889,1.856344107,2.698843406,3.059542018,2.67285415,2.829803355,3.227286668
2001/5/31,2.218186942,2.727648334,2.575115686,2.71076734,2.295904828,1.954115397,3.001071124,1.829203418,1.948043295,2.708352887,1.614460725,2.274431623,1.428861257,1.001268409,0.982164368,1.725955689,2.254941744,1.771420948,1.903117509,1.07949557,2.074130039,1.742442397,2.731913417,1.888477529,1.900031395,1.646700381,2.372618902,2.288527123,1.430380675,1.525299224,2.376984493,2.063466803,1.505743692,2.025828145,2.323331108,2.253386894,2.420527853,2.551375302,1.988320516,2.325587525,2.869813259,2.475604722,2.561381564,2.036043123,1.978617071,2.912959382,2.807361638,2.753418573,3.296811525,2.082293814,2.856143623,2.998947315,2.529657269,2.239019847,2.658547822,2.044176282,2.610782414,3.417363773,2.299802055,2.818218843,3.10796187,3.093928175,3.612204941,3.569307358,2.798147633,2.922649875,2.995510209,3.104292216,3.570508098
2001/6/30,2.348137064,2.326148233,2.440105342,2.323154751,2.576398984,2.863845236,2.920918628,3.30884843,2.682161039,2.646286759,3.037778183,3.255521269,2.408660341,2.120959534,1.644390446,3.410171307,2.664954319,4.112232779,5.399591528,1.776193117,3.953719886,3.248194599,2.711725257,3.47194813,3.520700783,1.435693411,3.009346265,3.810396373,1.79291735,2.955184571,3.283361665,2.08025792,2.62634011,1.499543028,4.229655118,3.826606645,3.632313886,2.256986608,2.446113942,1.356670413,1.869959788,4.004615904,1.288154502,2.792622615,2.543845106,2.990771024,2.326379171,3.802013844,3.348258816,3.11536024,4.698643456,2.681337359,2.658720802,3.863669837,2.709627002,3.60251529,3.03302283,4.569444063,2.886914079,4.52084382,3.683695899,3.922938219,3.89531756,3.485925013,3.42111752,3.035523805,3.921858276,4.32142471,4.297475692
2001/7/31,2.483948445,2.244216243,2.416246719,1.701855183,2.268999608,1.959341332,2.366197824,2.638053976,2.109871046,2.327743054,2.694519826,2.879088103,1.585906152,1.29893609,1.875511057,3.326499939,3.057305247,2.800050015,3.633335467,2.064399719,2.945893777,2.889025531,2.996163842,3.312151931,2.793370307,2.226134536,2.986028794,3.368884007,2.290611444,1.946229297,3.86364609,2.936750831,2.239080642,2.74713808,2.061842736,5.999503234,5.30994958,2.913753112,2.759332778,3.077565689,3.166140782,5.696471736,3.026838204,4.285077453,2.37548009,2.801570781,2.616921953,2.378649703,6.916013336,2.825030156,7.165041918,2.698106907,2.393975373,5.177120306,2.803378828,4.295394932,5.409440815,7.293729357,4.058388344,2.148750759,6.760912407,5.855437678,1.938906833,2.394295807,5.772425234,4.354769549,4.982725811,4.073322692,4.137258149
2001/8/31,2.65450459,3.580372921,3.739039996,3.580863717,3.353450316,3.455758464,4.057814447,3.305206357,3.592171761,3.454679411,2.988999339,3.66420866,3.218833823,3.53849584,3.172676719,4.03880904,3.404759536,3.213125036,4.018193625,3.807397035,3.44755516,3.487865474,4.306762757,3.816406954,3.385959619,3.31040461,4.232436609,3.555424438,3.539109074,3.601902421,3.100144603,3.543640463,4.156273099,3.268972564,3.945939535,4.344071746,3.78702579,3.64750906,3.213554029,3.45073323,3.655324843,5.267217969,3.415153546,3.148327032,3.506799875,3.628465398,3.401808354,3.959128899,4.29136022,3.940815058,5.700764116,3.611132195,3.86572398,3.741798324,4.160202591,3.767094087,3.730529233,3.740704589,3.910852979,4.257180728,3.714519765,3.249217892,4.280753822,4.228032772,4.75632601,3.398215893,5.32254897,6.197374485,7.073649764
